        61        12         6        20
   2.52153E-08   2.15523E-08   1.78730E-08   1.48007E-08   1.41860E-08
   1.48003E-08   1.78119E-08   2.15483E-08   2.53148E-08   2.69888E-08
   2.75764E-08   2.69392E-08   2.52153E-08   2.15523E-08   1.78730E-08
   1.48007E-08   1.41860E-08   1.48003E-08   1.78119E-08   2.15483E-08
   2.53148E-08   2.69888E-08
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10   9.18957E+10
